"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note"
"360","Indonesia","000"," World",2008,101100000,,0,2,0,"","Live horses,asses,mules and hinnies, pure-bred breeding animals","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,101903000,,0,2,5,"","Horses, oth than pure bred breeding ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,101909000,,0,2,5,"","Asses,mules and hinnies, other than pure-bred breeding","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,102100000,,0,2,0,"","Live bovine,pure-bred breeding animals ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,102901000,,0,2,0,"","Live oxen, other than pure-bred breeding animals","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,102902000,,0,2,5,"","Live buffaloes, other than pure-bred breeding animals","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,102909000,,0,2,5,"","Live bovine, Other than oxen & buffaloes other than pure-bred breeding animals","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,103100000,,0,2,0,"","Live swine, pure-bred breeding animals ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,103910000,,0,2,5,"","Live swine, other than breeding animals, weighing < 50 kg","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,103920000,,0,2,5,"","Live swine, other than breeding animals, weighing >= 50 kg","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,104101000,,0,2,0,"","Live sheep,pure-bred breeding animals ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,104109000,,0,2,5,"","Live sheep,other than breeding animals ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,104201000,,0,2,0,"","Live goats,pure-bred breeding animals ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,104209000,,0,2,5,"","Live goats,other than breeding animals ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,105111000,,0,2,0,"","Breeding fowls spec.gallus domesticus, live, weight <=185g","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,105119000,,0,2,5,"","Fowls spec.gallus domesticus,live, weight <=185g, other than breeding","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,105121000,,0,2,0,"","Breeding turkey,live,weight <=185g ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,105129000,,0,2,5,"","Turkey, live, weight <=185g ,other than breeding","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,105191000,,0,2,0,"","Breeding ducklings,live,weight<=185g ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,105193000,,0,2,0,"","Breeding goslings,live,weight <=185g ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,105199000,,0,2,5,"","Breding guinea fowls, live, weight<=185g","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,105941000,,0,2,0,"","Breed.fowl of the spec.gallus domesticus ,oth than fighting cock, weight<=2000 g","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,105942000,,0,2,5,"","Fighting cocks, weigh<=2000 g, fowls of the species gallus domestic","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,105943000,,0,2,5,"","Fighting cocks, weigh > 2000 g fowls of the species gallus domesticus","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,105949000,,0,2,5,"","Fowls of the species gallus domesticus fighting cocks, weight>2000 g","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,105991000,,0,2,0,"","Breeding ducks,live,weight >185g ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,105992000,,0,2,5,"","Ducks, live, weight >185g other than pure-bred breeding","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,105993000,,0,2,0,"","Breeding geese,turkeys & guinea fowls live, weight > 185g","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,105994000,,0,2,5,"","Geese, turkeys & guinea fowls, live, weight > 185g, other than pure breeding","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,106110000,,0,2,0,"","Live primates ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,106120000,,0,2,0,"","Live whales, dolphins and porpoises; manatees and dugongs","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,106190000,,0,2,0,"","Live mammals, oth than primates, dolphin porpoises, manatees and dugongs","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,106200000,,0,2,0,"","Live reptiles (including snakes and turtles)","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,106310000,,0,2,0,"","Live birds of prey ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,106320000,,0,2,0,"","Live psittaciformes(include.parrots parakeets,macaws & cockatoos)","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,106390000,,0,2,0,"","Other birds, live ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,106900000,,0,2,0,"","Other live animals, for human consumption","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,201100000,,0,2,5,"","Carcasses & half-carcasses of bovine animals, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,201200000,,0,2,5,"","Oth cuts with bone in of bovine animals, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,201300000,,0,2,5,"","Meat of bovine animals, boneless, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,202100000,,0,2,5,"","Carcasses & half-carcasses of bovine animals, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,202200000,,0,2,5,"","Oth cuts with bone in of bovine animals, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,202300000,,0,2,5,"","Meat of bovine animals, boneless, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,203110000,,0,2,5,"","Carcasses & half-carcasses of swine, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,203120000,,0,2,5,"","Hams, shoulders & cuts thereof of swine with bone in, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,203190000,,0,2,5,"","Other meat of swine, fresh or chilled ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,203210000,,0,2,5,"","Carcasses & half-carcasses of swine, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,203220000,,0,2,5,"","Hams, shoulders & cuts thereof of swine with bone in, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,203290000,,0,2,5,"","Other meat of swine, frozen ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,204100000,,0,2,5,"","Carcasses & half-carcasses of lamb, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,204210000,,0,2,5,"","Carcasses & half-carcasses of sheep, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,204220000,,0,2,5,"","Oth cuts with bone in of sheep, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,204230000,,0,2,5,"","Other meat of sheep, boneless, fresh or chilled","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,204300000,,0,2,5,"","Carcasses&half-carcasses of lamb, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,204410000,,0,2,5,"","Carcasses & half-carcasses of sheep, frozen","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,204420000,,0,2,5,"","Oth cuts with bone in of sheep, frozen ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,204430000,,0,2,5,"","Other meat of sheep, boneless, frozen ","MFN applied duty rates","A",,""
"360","Indonesia","000"," World",2008,204500000,,0,2,5,"","Meat of goats, fresh, chilled or frozen ","MFN applied duty rates","A",,""
